#OTU ID	sample13	sample14	sample15
2a384163b6858d07e4a1bd363ed6606d	28	0	0
01483eddd42227f25d6b49dd27c70ab9	0	0	32
a49ebaa948e108ae98f03541a85f2d9d	0	18	0
0d9a7922fa6e8819b01e63b3e6266755	0	100	23
e16693b2c6caa351e25ed547e5d5f2d0	16	0	0
892663cbee429bdf4825f9546a06f133	0	50	28
eeeb1b6665e726237630fc52ed6c3b15	0	20	0
db95924374a09d7655fbe2dca4d6646c	0	0	15
c023f38c1dc78d6aafe592f75e65ab50	32	42	40
57935cb84196f858a3a6e4132c4e174e	0	13	0
01d647b5c414e0237177fecf6a30bed3	20	0	19
ad5ec63651d886aa5da8349d80c8b824	0	29	0
4fe96cf02599e270859057b6b8e6acd9	47	0	26
b76088826f5362083b6e359c84ae8aef	0	29	0
0dd0fec475da5871429bcfc98caac0ef	0	29	33
e7b931c40ad2e2b7a8b2d5f5b207b8b9	0	67	47
3bb8ff9e317fa4698b659524f5f03cd5	26	0	0
72b32f0f6696b624d55b701bb7ca4e37	0	18	18
2e4a2e5ad75f2d321aadefddacb2fca7	28	0	71
0ea5486539a5cedeb034abe05aea5e69	34	69	53
75598494fec53e9a95cc421a6f724e3e	29	29	78
78494d19a41545d6fd876bc283cdcbaa	0	17	19
36b6bd886ed570abbc35595e2d2d6231	38	58	43
84094bbff64ac05ef1f0e3c0341edc47	83	88	90
49c709ea2cc429ee722f8d04cd5c8779	0	16	0
0058afbfe3c55e2a4bdb90de7cc15fd5	0	12	0
93d00b2474ea5ccdb9843b8725a97a5f	0	10	0
fdabde58fbbaecbb5a42f4bc9aa88f93	0	0	33
d4dd1a543f164e39cff575ccdabf4e46	0	15	0
13a93498ccf47d76b54cbe0beef63fb9	0	17	0
e9181eebfd7c1d1aca7e2bc23a61751f	8	0	0
09aef7f63dfb9ce6ce5a8fc236729041	0	0	10
bad02fb4b97f30182ffe6e934f54ad5f	40	50	33
9fceb74781d2ee3a40b911c230aaf208	17	0	0
a4b18a5e9d4b86c1cd4a5b89a658ba14	0	8	0
e71e87b3dfcef199399c224b77096aff	0	18	0
f86474efc99276bfe82593fd5ed947fa	0	0	30
cf08410c02d1074d87aac17d006b0c4c	11	0	0
56ef8570a3648d8f049a2e99525113a7	0	0	13
6635715a0a030b664385d9262de98482	17	0	30
f09436988ad459cac4c7aa4d87df338f	0	18	0
c8e5e76dc180872e63699c4e3ee7a57f	0	5	0
a8c56ed87d820e83b9156a2e6638bc1f	0	13	18
